"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000104833.12",31.5156363230527,-2.333441860207,0.677542892032986,-3.44397659195486,0.000573225328256667,0.0221522059471859
"ENSG00000104835.15",75.9873755752738,-0.705696459317751,0.378036994679508,-1.86673915317739,0.0619380232575984,0.308756377243908
"ENSG00000104848.1",9.99467396932244,0.38587363662535,0.746771895401949,0.516722226695012,0.605350077964359,0.845437593487151
"ENSG00000104852.15",13683.7667582132,-0.341036142844898,0.211543151185243,-1.61213511727573,0.106932540426186,0.400544192806099
"ENSG00000104853.16",5287.47051982972,-0.120736037657618,0.191048690161714,-0.631964749695068,0.527409911467512,0.802388342527863
"ENSG00000104856.14",692.057654644257,0.159941851058652,0.261833167629702,0.610854050716944,0.541296206708217,0.81087145846028
"ENSG00000104859.15",4755.90346320551,-0.404428293505942,0.238339028554669,-1.69686138253759,0.0897228705008592,0.370404387183017
"ENSG00000104863.12",80.1922162765879,0.0129983159645098,0.211605864717087,0.0614270118736469,0.951019140609784,0.983728273921247
"ENSG00000104866.11",1983.52023624756,0.0137198800937677,0.291923956569829,0.046998130112305,0.96251471783779,0.987840601135384
"ENSG00000104870.13",3243.00888316489,-0.367234220814086,0.287120423387652,-1.27902507415249,0.200888226292174,0.538294529157464
"ENSG00000104872.11",669.003516328821,-0.303852344856599,0.20078827709124,-1.5132972365639,0.130204174334938,0.441155418536295
"ENSG00000104879.5",158.752163241845,-3.45364683994258,0.592905096650901,-5.8249572477129,5.71272219290523e-09,5.91341260733424e-06
"ENSG00000104880.18",17.2172299544786,-0.00695924752464895,0.481412315637449,-0.0144558984026698,0.988466263559956,0.996019308018606
"ENSG00000104881.16",818.552906008833,-0.154594725717715,0.243329392009462,-0.635331081218925,0.525212506492698,0.800766377926447
"ENSG00000104883.8",42.9914839633202,-0.912920323243779,0.381014072108655,-2.39602783747955,0.016573831529205,0.159562946909633
"ENSG00000104884.16",1086.69446625698,-0.018700849044946,0.183264797905219,-0.102042777765852,0.918722720532204,0.974122674375644
"ENSG00000104885.18",3047.82106673675,-0.354547617609665,0.144424576682896,-2.45489809112006,0.0140924532650563,0.146459505931687
"ENSG00000104886.12",84.8841304207947,-0.561347768123871,0.261179368909851,-2.14928066664265,0.0316121581276632,0.221294401853398
"ENSG00000104888.10",23.4209390816484,0.702443473018931,0.573770828956708,1.22425790501791,0.22085495134884,0.5619735966362
"ENSG00000104892.17",72.4366909782771,-0.0669472732097263,0.375175294739767,-0.178442648405629,0.858375358146351,0.953005614589562
"ENSG00000104894.12",1662.55243630538,-0.817813385247504,0.353964136670611,-2.31044137109443,0.0208637308901998,0.180692508197117
"ENSG00000104897.10",1943.08244656317,-0.340359712245751,0.2552804372705,-1.33327769211355,0.182440691569987,0.51474234608646
"ENSG00000104899.8",201.362715996204,-0.848800467289911,0.588004014705344,-1.44352835365462,0.148871691219475,0.468214517823621
"ENSG00000104901.7",10.1056472389533,0.356883673069807,0.641714074296646,0.556141258801237,0.578114291829686,0.830833031156061
"ENSG00000104903.5",38.6576135995332,-0.120040914849703,0.35148512153802,-0.341524882545328,0.732708476116654,0.905587052867429
"ENSG00000104904.12",5827.14357794756,-0.0496537928731429,0.179564805758246,-0.276522967089628,0.782146421893749,0.925054248010252
"ENSG00000104907.12",1363.71421626123,-0.519282443832786,0.209523700439262,-2.47839477225784,0.0131975033522035,0.141319539405191
"ENSG00000104915.15",597.493620480423,-0.606138093221671,0.20964704917078,-2.89123121751123,0.00383735681258029,0.0716547380344404
"ENSG00000104918.8",6.8471586511077,-4.07559240863727,1.03307323592974,-3.94511469941369,7.97617898926906e-05,0.00595209628220552
"ENSG00000104921.15",38.7298987020035,0.481666348901776,0.658483942727012,0.731477744023686,0.464487393804916,0.764818858268721
"ENSG00000104936.19",785.633685622948,-0.205309111198971,0.266903024511464,-0.769227368534944,0.441758345879243,0.751188999751777
"ENSG00000104938.18",4.35660954857032,-1.1962032613603,1.17112835904728,-1.02141089157248,0.307059807270202,0.646373111537486
"ENSG00000104941.8",8.99047833073073,-0.0790142468177251,0.628762475183483,-0.125666288839307,0.899996087878277,0.968759399656701
"ENSG00000104946.13",2813.84377000204,-0.272415931501374,0.215859751351003,-1.26200428656293,0.206947243931755,0.545459201914212
"ENSG00000104951.16",269.086383391904,-0.141459996752271,0.475606935746251,-0.297430474873779,0.766137880236813,0.918283702200946
"ENSG00000104953.20",123.025287293133,0.467826491376465,0.436858661310485,1.07088752681035,0.28422000494147,0.624580937571212
"ENSG00000104957.14",1067.30874460321,-0.358851284879671,0.196176380075526,-1.82922778339327,0.0673654919547516,0.321630848216033
"ENSG00000104960.15",774.61158037405,-0.172871693733405,0.162379786061735,-1.06461338523799,0.287050920089951,0.627414336913266
"ENSG00000104964.15",3271.02261518406,-0.391684151190762,0.171459817258415,-2.28440784233682,0.0223475731058825,0.187856300351225
"ENSG00000104967.8",92.1691398321687,0.239757779545268,0.38494903881356,0.622829921290927,0.533396293545512,0.806185728433891
"ENSG00000104969.11",728.511511576775,-0.244601206913782,0.162152587225467,-1.50846317717812,0.131436024161682,0.44219181634838
"ENSG00000104970.11",1.2459399226871,-0.580480389593108,0.89573733458206,-0.648047554994403,0.516954192959123,NA
"ENSG00000104972.15",468.537977215065,-0.310995980840521,0.348398980059692,-0.892643201157583,0.372048276248764,0.701714781926857
"ENSG00000104973.19",3259.67971414155,-0.669689990385047,0.253557274832802,-2.64117837213169,0.00826182094104548,0.10823444076368
"ENSG00000104974.12",74.3985820833094,-0.272995816440619,0.477963341256446,-0.571164758625591,0.567887964519311,0.825262568471938
"ENSG00000104976.12",188.508782451573,0.165174520887891,0.251546201383171,0.656636911945596,0.511414408688291,0.793467203783045
"ENSG00000104979.9",310.889096083185,0.225146053872704,0.178329786090014,1.26252634968709,0.20675945093117,0.545311732332922
"ENSG00000104980.8",1002.01031248875,-0.595466026601595,0.170421662390687,-3.4940747452428,0.00047570781181638,0.0198000901813363
"ENSG00000104983.8",427.295069690565,-0.277580530140663,0.249181052141847,-1.113971258066,0.265291517250592,0.606821379506734
"ENSG00000104998.4",288.540606580494,0.0876559649298889,0.392193336652024,0.223501923000956,0.823144886642196,0.939217664488867
"ENSG00000105011.9",78.4125316890995,-0.722227951902952,0.335541449940983,-2.15242543664868,0.0313638620853858,0.220508771780423
"ENSG00000105048.17",764.075315954854,0.334377369182993,0.713657157019602,0.468540623314744,0.63939802748001,0.860466141544304
"ENSG00000105053.11",1290.58873846655,-0.574351936849473,0.200462439211771,-2.86513493055286,0.00416831589020461,0.0752543961218677
"ENSG00000105058.12",951.081830202888,-0.234280154847102,0.20876262604723,-1.12223226581802,0.261763697070111,0.603720781816676
"ENSG00000105063.19",3083.15173267422,-0.710711958410491,0.198392753086172,-3.58234838397445,0.000340519254026243,0.0156205826586836
"ENSG00000105072.9",551.759270090121,0.0650043644612387,0.248390119814081,0.261702697796089,0.793550660465593,0.928832480420765
"ENSG00000105085.11",89.3990452149043,-0.140034581352167,0.247023379950152,-0.566887965748122,0.5707903008171,0.826569839562049
"ENSG00000105088.8",359.01393902496,0.498535096039838,0.294895636845651,1.6905475488631,0.0909232495606512,0.372399851217404
"ENSG00000105122.13",500.15990900167,-0.124219594504672,0.337507369159262,-0.368050021586509,0.712835936101077,0.896048571077601
"ENSG00000105127.9",1589.36683227823,-0.460200434248011,0.21177682452237,-2.17304436066563,0.0297769786928598,0.215701781669361
"ENSG00000105131.8",18.2514487634927,-1.19866085092228,0.394857426037681,-3.03568015156918,0.00239993803993157,0.0544696029330654
"ENSG00000105135.16",611.571565032559,-0.374574750784747,0.195693240054564,-1.91409141511637,0.0556084762646314,0.292128553157181
"ENSG00000105136.21",871.285946653349,-0.0821955424253827,0.228887139440552,-0.359109483504778,0.719513187357675,0.898934560636828
"ENSG00000105137.13",286.053877908325,0.0846013469200191,0.316904666575659,0.266961505597839,0.789498799825278,0.927337035665749
"ENSG00000105141.6",70.7249542534897,-3.43537389176933,1.08145884278674,-3.17661084809936,0.00149006833067728,0.0402540505826379
"ENSG00000105146.13",171.640151031225,0.526725617725165,0.27976981876545,1.88271065138286,0.0597395911770649,0.302499217739273
"ENSG00000105171.10",428.074999580866,0.179623348457246,0.21988674125962,0.816890311022278,0.413991115281869,0.733737845055516
"ENSG00000105173.14",194.453829592873,-0.294457059248422,0.396662309922896,-0.742336874168003,0.45788325578623,0.761989386800891
"ENSG00000105176.18",5638.03643888268,0.254019773107595,0.185967161220323,1.36593886490878,0.171958152797407,0.500481657225837
"ENSG00000105185.12",2169.58738122142,0.144529999220846,0.343155896743532,0.421178830357868,0.673624501591808,0.87694747351515
"ENSG00000105186.16",2750.36676674792,-0.12197017851423,0.252176717067109,-0.483669467716052,0.628620465137705,0.854941751211531
"ENSG00000105193.9",6338.41969439848,0.00934174217313812,0.217833423924146,0.0428847970382686,0.965793367807269,0.989057488848738
"ENSG00000105197.11",1514.0228680936,0.148695656673698,0.245491834357239,0.605705102424371,0.544710595189598,0.81293809179832
"ENSG00000105202.9",2057.75045374891,0.0705186256305561,0.26601262064379,0.265095037445557,0.790936250167103,0.927925818736612
"ENSG00000105204.14",607.368922216656,0.131404362429339,0.238986715798142,0.549839609245596,0.582429388475877,0.833016421802434
"ENSG00000105205.7",5.1792394956245,-4.06752466665178,1.19721208357215,-3.39749717068961,0.000680052911935417,0.0246979598567969
"ENSG00000105219.10",31.1557836702556,-0.340151691205114,0.581788729995781,-0.584665315203992,0.558772780404053,0.819418685300874
"ENSG00000105220.17",12794.0120870311,-0.0676014372797685,0.21996187982831,-0.307332512945127,0.758590290642201,0.915244394649041
"ENSG00000105221.18",4777.42764481585,0.00752445849112738,0.2047354236698,0.0367521084346543,0.970682660158765,0.989852374573702
"ENSG00000105223.20",4988.30421686729,0.0366122963281273,0.18398202848995,0.19899930785972,0.84226328601397,0.946940689621835
"ENSG00000105227.16",571.227343107868,-0.391787241955144,0.318893011061322,-1.22858522565678,0.219227357637944,0.560044157651769
"ENSG00000105229.7",1008.19436279037,-0.449928944840785,0.229433141727551,-1.96104599995004,0.0498736571080785,0.2763652278013
"ENSG00000105245.9",625.240316484869,-0.236479809347002,0.212491484652973,-1.11289075763768,0.265755349950542,0.606907013154225
"ENSG00000105246.6",24.0809264445135,0.548386697771386,0.359966012088713,1.52344021200601,0.127648608034536,0.436569658946013
"ENSG00000105248.16",327.458623402652,-0.344442162182061,0.261178827336046,-1.3187981801407,0.187236592839745,0.521246449760803
"ENSG00000105251.11",5.88949529941252,-0.108342616359031,0.841574175917188,-0.128738047648567,0.897564928231652,0.968230148260184
"ENSG00000105254.12",1254.34879319692,0.150493915392217,0.274301784800489,0.548643587943393,0.583250066768519,0.833494453158757
